NEW_DATE,SALES,COST_OF_SALES,QUANTITY_SOLD,DAILY_PRICE_PER_UNIT,DAILY_GROSS_PROFIT_PCT,DAILY_GROSS_PROFIT_PER_UNIT,AVG_UNIT_SALES_PRICE,ROLLING_7DAY_SALES_AVG,WEEKDAY,AVG_WEEKDAY_SALES,PROMO_NAME,BASE_START,BASE_END,BASE_PRICE,PROMO_PRICE,BASE_QTY,PROMO_QTY,PRICE_CHANGE_PCT,QTY_CHANGE_PCT,PRICE_ELASTICITY
2014-01-01,86782.46773,87986.31821,2678,32.41,-1.39,-0.45,35.40,217496.76,Wed,145890.66,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2014-01-01,86782.46773,87986.31821,2678,32.41,-1.39,-0.45,35.40,197903.12,Wed,145890.66,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2014-01-01,86782.46773,87986.31821,2678,32.41,-1.39,-0.45,35.40,237090.40,Wed,145890.66,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2015-01-01,112161.41960,122170.43170,2905,38.61,-8.92,-3.45,35.40,265213.70,Thu,141084.76,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2015-01-01,112161.41960,122170.43170,2905,38.61,-8.92,-3.45,35.40,250323.97,Thu,141084.76,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2015-01-01,112161.41960,122170.43170,2905,38.61,-8.92,-3.45,35.40,235434.24,Thu,141084.76,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2016-01-01,111650.23980,121448.28380,3179,35.12,-8.78,-3.08,35.40,217129.50,Fri,245313.97,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2016-01-01,111650.23980,121448.28380,3179,35.12,-8.78,-3.08,35.40,230977.07,Fri,245313.97,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2016-01-01,111650.23980,121448.28380,3179,35.12,-8.78,-3.08,35.40,244824.64,Fri,245313.97,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2014-10-01,594438.28080,639306.56880,18330,32.43,-7.55,-2.45,35.40,398797.96,Wed,145890.66,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2014-10-01,594438.28080,639306.56880,18330,32.43,-7.55,-2.45,35.40,351637.79,Wed,145890.66,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2014-10-01,594438.28080,639306.56880,18330,32.43,-7.55,-2.45,35.40,445958.13,Wed,145890.66,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2015-10-01,402312.33320,459285.80450,12065,33.35,-14.16,-4.72,35.40,331523.64,Thu,141084.76,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2015-10-01,402312.33320,459285.80450,12065,33.35,-14.16,-4.72,35.40,294490.76,Thu,141084.76,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2015-10-01,402312.33320,459285.80450,12065,33.35,-14.16,-4.72,35.40,257457.87,Thu,141084.76,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2016-10-01,208489.09030,201416.83760,5632,37.02,3.39,1.26,35.40,164320.26,Sat,279047.26,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2016-10-01,208489.09030,201416.83760,5632,37.02,3.39,1.26,35.40,121043.20,Sat,279047.26,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2016-10-01,208489.09030,201416.83760,5632,37.02,3.39,1.26,35.40,142681.73,Sat,279047.26,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2014-11-01,247453.10220,242638.80120,6730,36.77,1.95,0.72,35.40,162038.91,Sat,279047.26,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2014-11-01,247453.10220,242638.80120,6730,36.77,1.95,0.72,35.40,136646.25,Sat,279047.26,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2014-11-01,247453.10220,242638.80120,6730,36.77,1.95,0.72,35.40,187431.57,Sat,279047.26,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2015-11-01,274814.77810,287978.17490,7459,36.84,-4.79,-1.76,35.40,327823.16,Sun,138170.86,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2015-11-01,274814.77810,287978.17490,7459,36.84,-4.79,-1.76,35.40,329289.91,Sun,138170.86,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2015-11-01,274814.77810,287978.17490,7459,36.84,-4.79,-1.76,35.40,326356.42,Sun,138170.86,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2016-11-01,126954.17020,110698.74290,2971,42.73,12.80,5.47,35.40,85573.17,Tue,137314.86,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2016-11-01,126954.17020,110698.74290,2971,42.73,12.80,5.47,35.40,94063.62,Tue,137314.86,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2016-11-01,126954.17020,110698.74290,2971,42.73,12.80,5.47,35.40,77082.72,Tue,137314.86,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2014-12-01,105100.66760,97257.39467,2492,42.18,7.46,3.15,35.40,98565.44,Mon,156313.03,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
2014-12-01,105100.66760,97257.39467,2492,42.18,7.46,3.15,35.40,100962.44,Mon,156313.03,Promo 2,2014-01-03,2014-01-04,32.420547901,32.431653385,9777,7486,0.03,-23.43,-684.07
2014-12-01,105100.66760,97257.39467,2492,42.18,7.46,3.15,35.40,96168.43,Mon,156313.03,Promo 3,2014-01-06,2014-01-07,32.420054115,34.058997391,8179.5,2990,5.06,-63.45,-12.55
2015-12-01,262394.78000,285838.55680,7474,35.11,-8.93,-3.14,35.40,254860.88,Tue,137314.86,Promo 1,2013-12-30,2013-12-31,32.604266004,32.411200123,8047.5,4426.5,-0.59,-45,75.99
